Site,Date,Comment
Jyndevad,10-04-2014,Fertilization 180.0 N, 38.6 P, 192.9 K kg ha-1
Jyndevad,10-04-2014,Fertilization 19.7 N, kg ha-1
Jyndevad,15-04-2014,Planting potatoes. Cv. Oleva, Rowdistance 75 cm plant distance 33 cm, depth 7 cm. Final plant number 4 m-2
Jyndevad,15-04-2014,Maxim 100 FS (fludioxonil) - fungi - 625 mL ha-1 sprayed at potatoes when planting
Jyndevad,30-04-2014,BBCH stage 05-08 (crop not emerged yet)
Jyndevad,30-04-2014,Command CS (clomazon) + Glyphogan (glyphosate) - weeds - 0.25 L ha-1+ 1.5 L ha-1
Jyndevad,06-05-2014,BBCH stage 08 (crop not emerged yet)
Jyndevad,06-05-2014,Titus WSB (rimsulfuron) - weeds - 10 g ha-1 (not included in monitoring)
Jyndevad,14-05-2014,BBCH stage 9 – emergence
Jyndevad,26-05-2014,BBCH stage 22
Jyndevad,27-05-2014,Titus WSB (rimsulfuron) - weeds - 20 g ha-1 (not included in monitoring)
Jyndevad,02-06-2014,BBCH stage 29
Jyndevad,10-06-2014,BBCH stage 38
Jyndevad,12-06-2014,BBCH stage 39
Jyndevad,12-06-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Jyndevad,14-06-2014,BBCH stage 47
Jyndevad,14-06-2014,Irrigation - 20 mm ha-1. Started on eastside 14/06. Ended on westside15/06
Jyndevad,16-06-2014,BBCH stage 48
Jyndevad,18-06-2014,BBCH stage 50
Jyndevad,18-06-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1 + Mospilan SG (acetamiprid) - pests - 150 g ha-1 (not included)
Jyndevad,18-06-2014,Microcare - 1.0 L ha-1 - manganese 0.368 kg ha-1 + N 0.035 kg ha-1
Jyndevad,19-06-2014,BBCH stage 50
Jyndevad,19-06-2014,Irrigation - 25 mm ha-1. Started on eastside 19/06. Ended on westside 20/06
Jyndevad,20-06-2014,Biomass tubers 195.3 g m-2 - 100% DM. Top 299.5 g m-2 row - 100% DM
Jyndevad,23-06-2014,BBCH stage 50
Jyndevad,27-06-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1 + Mospilan SG (acetamiprid) - pests - 150 g ha-1 (not included)
Jyndevad,27-06-2014,BBCH stage 65
Jyndevad,30-06-2014,BBCH stage 66
Jyndevad,01-07-2014,Biomass knolde 91.3 g m-2 - 100% DM. Top 395.3 g m-2 row - 100% DM
Jyndevad,04-07-2014,BBCH stage 69
Jyndevad,04-07-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Jyndevad,08-07-2014,BBCH stage 69
Jyndevad,12-07-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Jyndevad,12-07-2014,BBCH stage 70
Jyndevad,18-07-2014,BBCH stage 72
Jyndevad,18-07-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Jyndevad,18-07-2014,Microcare - 1.0 L ha-1 - manganese 0.368 kg ha-1 + N 0.035 kg ha-1
Jyndevad,21-07-2014,BBCH stage 79
Jyndevad,21-07-2014,Irrigation - 25 mm ha-1. Started on eastside 21/07. Ended on westside 22/07
Jyndevad,24-07-2014,BBCH stage 81
Jyndevad,24-07-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Jyndevad,29-07-2014,BBCH stage 82
